'Row_Id','IdAño','IdDepartamento','PIB_percapita'
528,41,33,5944621
529,42,29,10748424
530,42,1,26439300
531,42,25,21865798
532,42,2,19321755
533,42,3,38537446
534,42,4,19079008
535,42,5,24541935
536,42,6,19231443
537,42,7,11279930
538,42,26,39394012
539,42,8,13928059
540,42,9,17577737
541,42,12,8832985
542,42,10,11179053
543,42,11,22757974
544,42,30,8262308
545,42,31,10284436
546,42,13,17231708
547,42,14,14603624
548,42,15,11257708
549,42,16,38177948
550,42,17,10876227
551,42,18,11241685
552,42,27,11457338
553,42,19,17657812
554,42,20,20170401
555,42,28,27529845
556,42,21,32324270
557,42,22,10178746
558,42,23,18461440
559,42,24,25193771
560,42,32,7584603
561,42,33,6755405
562,43,29,12759657
563,43,1,31308158
564,43,25,27787180
565,43,2,22978644
566,43,3,45375877
567,43,4,23080425
568,43,5,30238991
569,43,6,23162103
570,43,7,12947856
571,43,26,51439231
572,43,8,16712345
573,43,9,27812760
574,43,12,10267971
575,43,10,13277977
576,43,11,27572999
577,43,30,9034216
578,43,31,11876964
579,43,13,20620334
580,43,14,21887834
581,43,15,13369596
582,43,16,52468105
583,43,17,12892481
584,43,18,13732708
585,43,27,14894279
586,43,19,21331602
587,43,20,24518535
588,43,28,34140396
589,43,21,39514892
590,43,22,11740012
591,43,23,22253353
592,43,24,30233726
593,43,32,8377799
594,43,33,7909384
